2017-05-22 06:00:30.508: ACT: MainWearActivity onCreate Complete
2017-05-22 06:00:31.874: GPS: Normal Poller now requestingLocationUpdates at 2000ms intervals
2017-05-22 06:05:32.338: GPS: Good Location received:Location[fused 54.149654,-2.265203 acc=35 et=+5m44s66ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:34.342: GPS: Location received:Location[fused 54.149701,-2.264788 acc=39 et=+5m46s70ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:34.342: GPS: Good Location received:Location[fused 54.149701,-2.264788 acc=39 et=+5m46s70ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:36.372: GPS: Location received:Location[fused 54.149748,-2.264372 acc=50 et=+5m48s99ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:36.372: GPS: Good Location received:Location[fused 54.149748,-2.264372 acc=50 et=+5m48s99ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:40.344: GPS: Location received:Location[fused 54.149832,-2.263541 acc=37 et=+5m52s72ms alt=0.0 vel=13.89 bear=83.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:40.345: GPS: Good Location received:Location[fused 54.149832,-2.263541 acc=37 et=+5m52s72ms alt=0.0 vel=13.89 bear=83.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:42.348: GPS: Location received:Location[fused 54.149860,-2.263120 acc=34 et=+5m54s72ms alt=0.0 vel=13.89 bear=83.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:42.348: GPS: Good Location received:Location[fused 54.149860,-2.263120 acc=34 et=+5m54s72ms alt=0.0 vel=13.89 bear=83.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:44.359: GPS: Location received:Location[fused 54.149888,-2.262700 acc=39 et=+5m56s83ms alt=0.0 vel=13.89 bear=83.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:44.359: GPS: Good Location received:Location[fused 54.149888,-2.262700 acc=39 et=+5m56s83ms alt=0.0 vel=13.89 bear=83.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:48.359: GPS: Location received:Location[fused 54.150055,-2.261935 acc=42 et=+6m0s87ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:48.359: GPS: Good Location received:Location[fused 54.150055,-2.261935 acc=42 et=+6m0s87ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:50.411: GPS: Location received:Location[fused 54.150205,-2.261599 acc=41 et=+6m2s138ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:50.411: GPS: Good Location received:Location[fused 54.150205,-2.261599 acc=41 et=+6m2s138ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:54.375: GPS: Location received:Location[fused 54.150505,-2.260927 acc=42 et=+6m6s98ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:54.375: GPS: Good Location received:Location[fused 54.150505,-2.260927 acc=42 et=+6m6s98ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:58.363: GPS: Location received:Location[fused 54.150728,-2.260209 acc=41 et=+6m10s91ms alt=0.0 vel=13.89 bear=88.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:58.364: GPS: Good Location received:Location[fused 54.150728,-2.260209 acc=41 et=+6m10s91ms alt=0.0 vel=13.89 bear=88.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:06:02.354: GPS: Location received:Location[fused 54.150744,-2.259363 acc=42 et=+6m14s82ms alt=0.0 vel=13.89 bear=88.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:06:02.354: GPS: Good Location received:Location[fused 54.150744,-2.259363 acc=42 et=+6m14s82ms alt=0.0 vel=13.89 bear=88.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:06:04.363: GPS: Location received:Location[fused 54.150752,-2.258940 acc=31 et=+6m16s91ms alt=0.0 vel=13.89 bear=88.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:06:04.363: GPS: Good Location received:Location[fused 54.150752,-2.258940 acc=31 et=+6m16s91ms alt=0.0 vel=13.89 bear=88.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
